Year,Segment,Domain,Element,Basis,Mass_g_per_vehicle
2020,CD,Motors,Sn_ppm,scaled,0.0025865553543663673
2020,CD,Motors,Tb,scaled,5.528381157938659
2020,CD,Motors,Te_ppm,scaled,0.0025851353529372156
2020,CD,Motors,TotalMass,scaled,21458.060097460733
2020,CD,Motors,Zn_ppm,scaled,0.0012915542603891947
2020,CD,PCB,Ag,modelled,4.674425811008351
2020,CD,PCB,Al,modelled,95.69534917165484
2020,CD,PCB,Au,modelled,1.0971373665964472
2020,CD,PCB,Cu,modelled,357.67482927398396
2020,CD,PCB,Fe,modelled,56.803492752348546
2020,CD,PCB,Ni,modelled,16.19877837177094
2020,CD,PCB,Pb,modelled,12.010407494896722
2020,CD,PCB,Pd,modelled,0.5806710394731902
2020,CD,PCB,Sn,modelled,67.9158412982477
2020,CD,PCB,Zn,modelled,4.14783909020598
2020,CD,Sensors,Ag,static-2025,1.0040422937850013
2020,CD,Sensors,Al,static-2025,25.381163837861383
2020,CD,Sensors,As,static-2025,0.026235906125075287
2020,CD,Sensors,Au,static-2025,0.03360938020700168
2020,CD,Sensors,B,static-2025,0.10164592204704456
2020,CD,Sensors,Ba,static-2025,0.8387827210563901
2020,CD,Sensors,Co,static-2025,1.178163319714313
2020,CD,Sensors,Cr,static-2025,1.2955173016213009
2020,CD,Sensors,Cu,static-2025,98.95624584256456
2020,CD,Sensors,Dy,static-2025,0.07083661258543408
2020,CD,Sensors,Fe,static-2025,132.23534742709208
2020,CD,Sensors,Ga,static-2025,0.02625577518133533
2020,CD,Sensors,Ge,static-2025,0.0026980347746987984
2020,CD,Sensors,In,static-2025,0.13058781019089258
2020,CD,Sensors,Li,static-2025,0.005605205300557956
2020,CD,Sensors,Mn,static-2025,7.677327848828841
2020,CD,Sensors,Nd,static-2025,1.4848633834900868
2020,CD,Sensors,Ni,static-2025,7.979807828474516
2020,CD,Sensors,Pb,static-2025,5.101529133898619
2020,CD,Sensors,Pt,static-2025,0.004062999866960568
2020,CD,Sensors,Si,static-2025,7.165474084828744
2020,CD,Sensors,Sn,static-2025,1.252070944913973
2020,CD,Sensors,Ta,static-2025,0.059477643991652764
2020,CD,Sensors,Ti,static-2025,0.5473329813441806
2020,CD,Sensors,W,static-2025,0.012087559491846431
2020,CD,Sensors,Zn,static-2025,2.768695304709588
2020,CD,Sensors,Zr,static-2025,0.7652399562259045
2020,CD,Wiring,Cu,modelled,62442.76441907089
2020,EF,Motors,Ag_ppm,scaled,0.7164286179052809
2020,EF,Motors,Al,scaled,57.03342014205233
2020,EF,Motors,As_ppm,scaled,0.014324184080482746
2020,EF,Motors,B,scaled,57.4522729341562
2020,EF,Motors,Bi_ppm,scaled,0.010036545347220769
2020,EF,Motors,C,scaled,11.328678806003268
2020,EF,Motors,Cd_ppm,scaled,0.0028646194761165174
2020,EF,Motors,Co,scaled,407.9246060606204
2020,EF,Motors,Cu,scaled,8604.112015383625
2020,EF,Motors,Dy,scaled,364.08435780697624
2020,EF,Motors,Fe,scaled,34531.030022479434
2020,EF,Motors,Fe_ppm,scaled,0.028650834120397685
2020,EF,Motors,Ga,scaled,2.611518190232775
2020,EF,Motors,Mn,scaled,79.53034786477943
2020,EF,Motors,Mn_ppm,scaled,0.001432594009125742
2020,EF,Motors,Nb,scaled,13.053993066278673
2020,EF,Motors,Nd,scaled,1593.030597154908
2020,EF,Motors,Ni_ppm,scaled,0.0286975134830989
2020,EF,Motors,O_ppm,scaled,0.5952351382568174
2020,EF,Motors,P,scaled,10.572750740176845
2020,EF,Motors,P_ppm,scaled,0.008601378883082595
2020,EF,Motors,Pb_ppm,scaled,0.08614855775819695
2020,EF,Motors,Pr,scaled,26.109474028622422
2020,EF,Motors,S,scaled,5.564759027538002
2020,EF,Motors,S_ppm,scaled,0.04303039588832192
2020,EF,Motors,Sb_ppm,scaled,0.01145583491694842
2020,EF,Motors,Se_ppm,scaled,0.00859960304192254
2020,EF,Motors,Si,scaled,459.8493431861169
2020,EF,Motors,Sn_ppm,scaled,0.005728255127246694
2020,EF,Motors,Tb,scaled,20.54333658202304
2020,EF,Motors,Te_ppm,scaled,0.005740169423214587
2020,EF,Motors,TotalMass,scaled,45692.92075771525
2020,EF,Motors,Zn_ppm,scaled,0.002867111167690544
2020,EF,PCB,Ag,modelled,5.274354913704122
2020,EF,PCB,Al,modelled,110.76627584953202
2020,EF,PCB,Au,modelled,1.3021189444878816
2020,EF,PCB,Cu,modelled,411.6137032393729
2020,EF,PCB,Fe,modelled,67.6897263895755
2020,EF,PCB,Ni,modelled,19.79499509842816
2020,EF,PCB,Pb,modelled,13.653719105919274
2020,EF,PCB,Pd,modelled,0.6981925688723168
2020,EF,PCB,Sn,modelled,80.96780004023464
2020,EF,PCB,Zn,modelled,4.857384135010028
2020,EF,Sensors,Ag,static-2025,1.369249576879546
2020,EF,Sensors,Al,static-2025,36.731700911020866
2020,EF,Sensors,As,static-2025,0.05561113929625286
2020,EF,Sensors,Au,static-2025,0.04665892216070073
2020,EF,Sensors,B,static-2025,0.17447940428973757
2020,EF,Sensors,Ba,static-2025,1.0964663126283016
2020,EF,Sensors,Co,static-2025,1.4022044867454229
2020,EF,Sensors,Cr,static-2025,1.915665449291962
2020,EF,Sensors,Cu,static-2025,118.03127420741843
2020,EF,Sensors,Dy,static-2025,0.11821409744431796
2020,EF,Sensors,Fe,static-2025,163.43714278526167
2020,EF,Sensors,Ga,static-2025,0.05562085055109532
2020,EF,Sensors,Ge,static-2025,0.004528987007663839
2020,EF,Sensors,In,static-2025,0.17015247696047545
2020,EF,Sensors,Li,static-2025,0.005599810035484773
2020,EF,Sensors,Mn,static-2025,9.309674165908516
2020,EF,Sensors,Nd,static-2025,2.6506784355151085
2020,EF,Sensors,Ni,static-2025,9.623795259359136
2020,EF,Sensors,Pb,static-2025,5.6643796772145105
2020,EF,Sensors,Pt,static-2025,0.005766053334719774
2020,EF,Sensors,Si,static-2025,10.145498927559395
2020,EF,Sensors,Sn,static-2025,1.6474297081739453
2020,EF,Sensors,Ta,static-2025,0.06570280287807932
2020,EF,Sensors,Ti,static-2025,0.6055172644148101
2020,EF,Sensors,W,static-2025,0.017740480479114293
2020,EF,Sensors,Zn,static-2025,3.243831445052524
2020,EF,Sensors,Zr,static-2025,0.8505679861196306
2020,EF,Wiring,Cu,modelled,84517.07378002902
2021,AB,Motors,Ag_ppm,scaled,0.15860685105226224
2021,AB,Motors,Al,scaled,10.986048396055606
2021,AB,Motors,As_ppm,scaled,0.0031736221634426254
2021,AB,Motors,B,scaled,12.700055826703633
2021,AB,Motors,Bi_ppm,scaled,0.0022218406518858154
2021,AB,Motors,C,scaled,3.12594873000749
2021,AB,Motors,Cd_ppm,scaled,0.0006353881002404095
2021,AB,Motors,Co,scaled,12.542570055113368
2021,AB,Motors,Cu,scaled,1903.3952611188452
2021,AB,Motors,Dy,scaled,11.498716212057275
2021,AB,Motors,Fe,scaled,8604.123068684468
2021,AB,Motors,Fe_ppm,scaled,0.006333443123819331
2021,AB,Motors,Ga,scaled,0.5774777907265835
2021,AB,Motors,Mn,scaled,19.90922627579629
2021,AB,Motors,Mn_ppm,scaled,0.00031740564476188975
2021,AB,Motors,Nb,scaled,2.8865253002729125
2021,AB,Motors,Nd,scaled,352.1324502683976
2021,AB,Motors,Ni_ppm,scaled,0.006350141337191129
2021,AB,Motors,O_ppm,scaled,0.13155013245677974
2021,AB,Motors,P,scaled,2.1709128077547657
2021,AB,Motors,P_ppm,scaled,0.0019022047131807337
2021,AB,Motors,Pb_ppm,scaled,0.01900640942769236
2021,AB,Motors,Pr,scaled,5.7702005169566615
2021,AB,Motors,S,scaled,1.3591570336927943
2021,AB,Motors,S_ppm,scaled,0.009522227661792622
2021,AB,Motors,Sb_ppm,scaled,0.0025368122606480806
2021,AB,Motors,Se_ppm,scaled,0.0019010183820402358
2021,AB,Motors,Si,scaled,91.9632253736523
2021,AB,Motors,Sn_ppm,scaled,0.0012686410489925533
2021,AB,Motors,Tb,scaled,0.5227896927202021
2021,AB,Motors,Te_ppm,scaled,0.0012695142742118806
2021,AB,Motors,TotalMass,scaled,11038.371028801801
2021,AB,Motors,Zn_ppm,scaled,0.0006340740355162021
2021,AB,PCB,Ag,modelled,3.731858444435476
2021,AB,PCB,Al,modelled,74.52001386289089
2021,AB,PCB,Au,modelled,0.7972029031503922
2021,AB,PCB,Cu,modelled,284.89750234435706
2021,AB,PCB,Fe,modelled,43.306298975016
2021,AB,PCB,Ni,modelled,11.86453586294978
2021,AB,PCB,Pb,modelled,9.753243511378264
2021,AB,PCB,Pd,modelled,0.415808011126982
2021,AB,PCB,Sn,modelled,50.229583613395434
2021,AB,PCB,Zn,modelled,3.252611024841777
2021,AB,Sensors,Ag,static-2025,0.6077818336270258
2021,AB,Sensors,Al,static-2025,10.173703779353087
2021,AB,Sensors,As,static-2025,0.02067735973759192
2021,AB,Sensors,Au,static-2025,0.024082010675859362
2021,AB,Sensors,B,static-2025,0.05084856572201221
2021,AB,Sensors,Ba,static-2025,0.4380401690028811
2021,AB,Sensors,Co,static-2025,0.9715128524708169
2021,AB,Sensors,Cr,static-2025,1.0707382127122949
2021,AB,Sensors,Cu,static-2025,69.394766208022
2021,AB,Sensors,Dy,static-2025,0.026571542728908305
2021,AB,Sensors,Fe,static-2025,91.17709780509851
2021,AB,Sensors,Ga,static-2025,0.020682616109586768
2021,AB,Sensors,Ge,static-2025,0.001501528016123206
2021,AB,Sensors,In,static-2025,0.051132857527050886
2021,AB,Sensors,Li,static-2025,0.0014008442446865545
2021,AB,Sensors,Mn,static-2025,5.275394133407557
2021,AB,Sensors,Nd,static-2025,0.6188924952737236
2021,AB,Sensors,Ni,static-2025,6.4484590776233865
2021,AB,Sensors,Pb,static-2025,1.6969392008835948
2021,AB,Sensors,Pt,static-2025,0.0017482981656576717
2021,AB,Sensors,Si,static-2025,4.699240316672317
2021,AB,Sensors,Sn,static-2025,0.8108822130844012
2021,AB,Sensors,Ta,static-2025,0.04184983640411805
2021,AB,Sensors,Ti,static-2025,0.18020926898566872
2021,AB,Sensors,W,static-2025,0.006421485657835426
2021,AB,Sensors,Zn,static-2025,1.8653604037552363
